,home,away,score,stage
0,RITA LEVI'S,GLI AVANZI,3-1,Maschile
1,QUEI STRAZI,BEVEM4TUT,3-2,Maschile
2,IMONTAGNA,FC GORILLAZ,5-1,Maschile
3,SHARK ATTACK,FC SCHALKE 104,5-2,Maschile
4,PINGUINI TRENTINI,NAZZZIONALE FERROVIERI,8-0,Maschile
5,HELLAS LAZIO,CLITORIDERS,0-7,Maschile
6,SBARX,GLI INTROVABILI,6-1,Maschile
7,DEMOBUSTERS,SDRUMALA,1-1,Maschile
8,BAYERN MONA,QUESTI SEN,3-1,Maschile
9,FC SALAGIARDINI,POWER GINGER,1-4,Maschile
10,RSA UNITED,I MAGNIFICI,5-5,Maschile
11,RITA LEVI'S,WANDA TIM,2-1,Maschile
12,CGB GAMBERONI,FC SAVIGNANO,2-2,Maschile
13,GLI AVANZI,GREP,4-2,Maschile
14,U.S GUARNA,QUEI STRAZI,4-0,Maschile
15,DEMOBUSTERS,SHARK ATTACK,2-3,Maschile
16,NAZZZIONALE FERROVIERI,FC SAVIGNANO,0-5,Maschile
17,CGB GAMBERONI,QUESTI SEN,12-0,Maschile
18,A.C.DENTI,4SINS,5-4,Maschile
19,HELLAS LAZIO,I MAGNIFICI,0-3,Maschile
20,IMONTAGNA,RSA UNITED,6-2,Maschile
21,POWER GINGER,FC GORILLAZ,4-5,Maschile
22,CLITORIDERS,FC SALAGIARDINI,9-0,Maschile
23,HELLAS LAZIO,WANDA TIM,3-1,Maschile
24,MAI UNA GIOIA,BEVEM4TUT,3-1,Maschile
25,GLI INTROVABILI,GREP,5-2,Maschile
26,MODIUM,POWER GINGER,4-0,Maschile
27,WANDA TIM,RSA UNITED,2-3,Maschile
28,4SINS,SHARK ATTACK,0-8,Maschile
29,VIGILI DEL FUSTO,RITA LEVI'S,0-11,Maschile
30,SBARX,GLI AVANZI,4-1,Maschile
31,FC SCHALKE 104,CGB GAMBERONI,2-7,Maschile
32,MAI UNA GIOIA,SDRUMALA,5-0,Maschile
33,MODIUM,I MAGNIFICI,3-1,Maschile
34,QUESTI SEN,U.S GUARNA,0-11,Maschile
35,PINGUINI TRENTINI,SDRUMALA,2-2,Maschile
36,MODIUM,GLI INTROVABILI,2-0,Maschile
37,VIGILI DEL FUSTO,FC SALAGIARDINI,2-6,Maschile
38,FC SCHALKE 104,BAYERN MONA,2-2,Maschile
39,A.C.DENTI,QUEI STRAZI,7-1,Maschile
40,4SINS,BEVEM4TUT,2-1,Maschile
41,PINGUINI TRENTINI,U.S GUARNA,0-0,Maschile
42,IMONTAGNA,GREP,10-2,Maschile
43,MAI UNA GIOIA,BAYERN MONA,8-2,Maschile
44,CLITORIDERS,SBARX,4-2,Maschile
45,FC SAVIGNANO,A.C.DENTI,5-3,Maschile
46,VIGILI DEL FUSTO,FC GORILLAZ,1-11,Maschile
47,DEMOBUSTERS,NAZZZIONALE FERROVIERI,2-0,Maschile
48,FC SAVIGNANO,QUEI STRAZI,6-1,Playoffs M
49,FC GORILLAZ,HELLAS LAZIO,3-4,Playoffs M
50,SBARX,4SINS,3-2,Playoffs M
51,A.C.DENTI,FC SALAGIARDINI,7-0,Playoffs M
52,PINGUINI TRENTINI,GLI INTROVABILI,6-0,Playoffs M
53,I MAGNIFICI,GLI AVANZI,2-1,Playoffs M
54,DEMOBUSTERS,POWER GINGER,2-4,Playoffs M
55,RSA UNITED,BAYERN MONA,10-0,Playoffs M
56,CLITORIDERS,RSA UNITED,4-0,Ottavi M
57,U.S GUARNA,FC SAVIGNANO,0-0,Ottavi M
58,SHARK ATTACK,A.C.DENTI,8-1,Ottavi M
59,MAI UNA GIOIA,PINGUINI TRENTINI,1-2,Ottavi M
60,IMONTAGNA,POWER GINGER,5-2,Ottavi M
61,CGB GAMBERONI,HELLAS LAZIO,7-1,Ottavi M
62,MODIUM,SBARX,6-2,Ottavi M
63,RITA LEVI'S,I MAGNIFICI,1-0,Ottavi M
64,CLITORIDERS,U.S GUARNA,2-1,Quarti M
65,SHARK ATTACK,PINGUINI TRENTINI,4-4,Quarti M
66,IMONTAGNA,CGB GAMBERONI,2-3,Quarti M
67,MODIUM,RITA LEVI'S,2-0,Quarti M
68,CLITORIDERS,SHARK ATTACK,2-2,Semi M
69,CGB GAMBERONI,MODIUM,2-3,Semi M
70,CLITORIDERS,MODIUM,3-2,Finale M
